radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,
GSM,452,4,20615,53453,0,1.067.388,10.9013,1000,21,1,1466715765,1738381201,0
GSM,452,4,20616,65362,0,1.067.422,10.9348,1000,14,1,1466740031,1738381204,0
GSM,452,4,20615,52772,0,1.067.406,10.9089,764,28,1,1466715765,1738381202,0
GSM,452,4,20616,47390,0,1.067.423,10.9369,1000,7,1,1466740030,1738381204,0
GSM,452,4,20616,50051,0,1.067.412,10.9254,1442,17,1,1466715760,1738381203,0
GSM,452,4,20615,14446,0,1.067.407,10.912,791,50,1,1466715760,1738381202,0
GSM,452,4,20615,3197,0,1.067.404,10.8995,961,27,1,1466715765,1738381201,0
GSM,452,4,20615,52771,0,1.067.407,10.91,755,50,1,1466715765,1738381202,0
GSM,452,4,20616,13491,0,1.067.419,10.9299,1180,50,1,1466715760,1738381204,0
GSM,452,4,20356,47251,0,1.067.565,10.8335,1277,48,1,1466766433,1738381149,0
GSM,452,4,20475,29693,0,1.066.193,10.7994,642,25,1,1466914046,1738231868,0
GSM,452,4,20506,24790,0,1.067.056,10.7736,1000,4,1,1466960744,1744645142,0
GSM,452,4,20353,40071,0,1.067.504,10.8369,1999,23,1,1467162255,1738381150,0
UMTS,452,1,13002,78726341,157,1.058.405,210.381,1000,2,1,1467519450,1712468102,0
GSM,452,4,20506,64247,0,1.067.063,10.7722,1000,3,1,1467989496,1744645142,0
GSM,452,4,20506,47024,0,1.066.995,10.761,1000,5,1,1467963920,1744431901,0
GSM,452,4,20477,53868,0,1.066.213,10.8146,1177,17,1,1467997564,1738231867,0
GSM,452,4,20477,12897,0,1.066.217,10.809,3719,32,1,1468688734,1738231867,0
GSM,452,4,20603,57294,0,1.066.243,11.1101,1942,4,1,1469315061,1738381217,0
GSM,452,4,20603,9657,0,1.066.111,11.1304,1535,13,1,1469315049,1738381218,0
GSM,452,4,20603,55655,0,1.066.037,11.1403,1191,39,1,1469315049,1738381220,0
GSM,452,4,20603,45360,0,1.066.037,11.1415,1157,23,1,1469315049,1738381220,0
GSM,452,4,20603,55665,0,1.066.353,11.0854,995,50,1,1469315066,1738381215,0
GSM,452,4,20603,55664,0,1.066.324,11.0867,2550,19,1,1469315066,1738381215,0
GSM,452,4,20603,50741,0,1.066.063,11.1345,1602,25,1,1469315049,1738381220,0
GSM,452,4,20603,1947,0,1.066.002,11.1444,1605,26,1,1469315049,1738381220,0
GSM,452,4,20603,53981,0,1.066.382,11.0837,1696,49,1,1469315066,1738381215,0
GSM,452,4,20603,3908,0,1.066.071,11.1334,1000,9,1,1469315049,1738381219,0
GSM,452,4,20603,53983,0,1.066.284,11.0888,2013,22,1,1469315066,1738381216,0
GSM,452,4,20603,56975,0,1.066.178,11.1151,2652,34,1,1469315061,1738381218,0
GSM,452,4,20603,55656,0,1.065.914,11.1526,2581,34,1,1469315049,1738381222,0
GSM,452,4,20603,10662,0,1.066.073,11.1341,4357,41,1,1469315061,1738381220,0
GSM,452,4,20603,64221,0,1.066.234,11.1019,1532,50,1,1469315061,1738381217,0
GSM,452,4,20603,56974,0,1.066.155,11.1217,2971,31,1,1469315061,1738381218,0
